text,intensity,category,polarity,emotion
"Finally chose a career path that aligns with my values. Feeling more confident.",4,Career Confusion,1.0,joy
"Every day I'm feeling very low, and it's affecting my ability to focus at work. The simplest tasks feel overwhelming, and I can't seem to find motivation to do anything productive.",8,Depression,-1.0,sadness
"I feel hopeful lately about my recovery journey. The therapy sessions are making a difference, and I'm starting to see small improvements in how I handle daily challenges.",6,Positive Outlook,1.0,joy
"Honestly, I can't sleep well, and it's taking a toll on my daily life. I keep tossing and turning all night, watching the clock tick by, wondering if I'll ever get proper rest again.",9,Insomnia,-1.0,joy
"My mind feels like it's not processing food properly. Every meal brings anxiety and guilt. I spend hours planning what to eat, but end up skipping meals or eating very little.",8,Eating Disorder,-1.0,sadness
"For a while now, I've been feeling much better about my career path. The new job opportunities seem promising, and I'm excited about the potential for growth in my field.",7,Career Confusion,1.0,joy
"I think my mental state is feeling hopeful since starting meditation. The daily practice helps calm my racing thoughts, and I'm learning to manage stress better than before.",5,Positive Outlook,1.0,joy
"It feels like I'm constantly worried about my health. Every small symptom sends me into a panic, and I can't stop googling medical conditions. The anxiety is overwhelming.",8,Health Anxiety,-1.0,fear
"I've been experiencing severe anxiety lately. Simple tasks like grocery shopping or meeting friends trigger intense worry, and I'm finding it harder to control these feelings.",7,Anxiety,-1.0,sadness
"Every day brings new stress about work deadlines and responsibilities. I feel overwhelmed by the constant pressure to perform, and it's affecting my mental and physical health.",8,Stress,-1.0,surprise
"I can't stop thinking about food and calories. The constant monitoring and restriction are exhausting, but I feel panicked when I try to eat normally.",9,Eating Disorder,-1.0,fear
"For a while now, I've been struggling with insomnia. Even when I'm exhausted, my mind races with thoughts, making it impossible to fall asleep or stay asleep through the night.",8,Insomnia,-1.0,sadness
"I'm feeling more positive about life lately. The small changes I've made are starting to show results, and I'm beginning to enjoy activities that I used to love again.",6,Positive Outlook,1.0,joy
"My health anxiety is getting worse each day. Every headache feels like something serious, and I'm constantly checking my body for symptoms of illness.",9,Health Anxiety,-1.0,sadness
"The career uncertainty is becoming overwhelming. I feel stuck in my current role but scared to make a change, and watching others succeed makes me question my choices.",7,Career Confusion,-1.0,fear
"Depression has been consuming my thoughts lately. Getting through each day feels like climbing a mountain, and I've lost interest in things that used to bring me joy.",9,Depression,-1.0,sadness
"Work stress is affecting my sleep patterns severely. I lie awake worrying about deadlines and meetings, and when I do sleep, I have anxiety dreams about work.",8,Insomnia,-1.0,fear
"The constant worry about my future is paralyzing. Every decision feels monumental, and I'm scared of making the wrong choice in my career or personal life.",7,Anxiety,-1.0,fear
"I've noticed positive changes in my outlook recently. Therapy and self-care practices are helping me develop better coping mechanisms, and I feel more resilient.",5,Positive Outlook,1.0,joy
"My eating patterns have become increasingly restrictive. I feel guilty about every meal, and the thought of eating in public brings intense anxiety and shame.",8,Eating Disorder,-1.0,sadness
"The stress of balancing work and personal life is overwhelming. I feel like I'm failing at both, and the pressure to maintain everything is becoming unbearable.",9,Stress,-1.0,sadness
"Every minor health symptom triggers intense anxiety. I spend hours researching online, convinced that something is seriously wrong, despite doctors saying I'm healthy.",8,Health Anxiety,-1.0,joy
"I've been feeling lost in my career lately. Everyone else seems to have a clear path, while I'm still trying to figure out what I want to do with my life.",7,Career Confusion,-1.0,sadness
"The depression makes it hard to maintain relationships. I've withdrawn from friends and family, and everyday tasks feel like massive obstacles to overcome.",9,Depression,-1.0,sadness
"Sleep has become my biggest challenge. The anxiety about not sleeping makes it even harder to rest, creating a vicious cycle of exhaustion and worry.",8,Insomnia,-1.0,anger
"My mind is constantly racing with worries about the future. Simple decisions become overwhelming, and I find myself overthinking every small interaction or choice.",7,Anxiety,-1.0,fear
"I'm starting to feel more hopeful about recovery. The small victories are adding up, and I'm learning to celebrate progress rather than focusing on perfection.",6,Positive Outlook,1.0,joy
"Food has become a source of constant stress. I calculate and measure everything, and the guilt after eating makes it hard to enjoy any social situations.",9,Eating Disorder,-1.0,sadness
"The work pressure is becoming unbearable. Deadlines keep piling up, and I feel like I'm always behind, no matter how hard I try to catch up.",8,Stress,-1.0,sadness
"Health-related thoughts consume most of my day. Every unusual sensation sends me into a panic, and I'm constantly seeking reassurance about my wellbeing.",8,Health Anxiety,-1.0,fear
"Career decisions feel increasingly daunting. The fear of making the wrong choice paralyzes me, and I'm constantly questioning my professional worth.",7,Career Confusion,-1.0,fear
"I feel completely overwhelmed by my upcoming exams. My mind races with anxiety about failing, even though I've been studying non-stop.",8,Anxiety,-1.0,fear
"I haven't been able to sleep properly for days. The thoughts about my health keep me tossing and turning all night.",7,Health Anxiety,-1.0,joy
"My eating patterns have become irregular lately. I skip meals frequently and feel guilty when I eat.",6,Eating Disorder,-1.0,sadness
"The constant worry about my future career path is exhausting. I feel stuck and unsure about every decision.",7,Career Confusion,-1.0,fear
"I've been feeling hopeful about my progress in therapy. Small steps are making a difference in my outlook.",8,Positive Outlook,1.0,joy
"Every night, I lie awake counting hours until sunrise. My mind won't quiet down enough to rest.",9,Insomnia,-1.0,fear
"The pressure at work is becoming unbearable. I feel like I'm constantly running on empty.",8,Stress,-1.0,sadness
"Lately, everything feels gray and meaningless. I struggle to find joy in things I used to love.",9,Depression,-1.0,sadness
"My health anxiety is through the roof. Every small body sensation sends me into a spiral of worry.",7,Health Anxiety,-1.0,fear
"I feel incredibly grateful for my support system. Their presence makes everything more manageable.",9,Positive Outlook,1.0,joy
"I can't stop comparing my eating habits to others. It's becoming an obsessive thought pattern.",8,Eating Disorder,-1.0,fear
"The career uncertainty is paralyzing. I spend hours overthinking every possible path.",7,Career Confusion,-1.0,fear
"My anxiety peaks during social situations. I constantly worry about others judging me.",8,Anxiety,-1.0,fear
"Sleep has become my enemy. I dread bedtime because I know I'll just lie there awake.",9,Insomnia,-1.0,fear
"The daily stress is affecting my concentration. Simple tasks feel overwhelming now.",6,Stress,-1.0,joy
"There's a persistent emptiness that follows me everywhere. Even simple tasks feel impossible.",8,Depression,-1.0,sadness
"I'm starting to see positive changes in my life. Each day brings new opportunities for growth.",7,Positive Outlook,1.0,joy
"My mind won't stop racing about potential health issues. Every symptom feels catastrophic.",8,Health Anxiety,-1.0,sadness
"Food has become a source of anxiety. I calculate and overthink every meal.",7,Eating Disorder,-1.0,fear
"The pressure to figure out my career path is overwhelming. Everyone else seems so certain.",6,Career Confusion,-1.0,joy
"I feel trapped in a cycle of anxious thoughts. They keep building up without release.",8,Anxiety,-1.0,fear
"Another sleepless night makes everything harder. I'm exhausted but can't find rest.",9,Insomnia,-1.0,sadness
"Work deadlines are piling up, and I feel like I'm drowning in responsibilities.",7,Stress,-1.0,sadness
"The depression makes every day feel like walking through thick fog. Nothing brings joy anymore.",9,Depression,-1.0,sadness
"I'm making progress in managing my thoughts. The future looks brighter now.",8,Positive Outlook,1.0,joy
"My health worries consume most of my mental energy. Every twinge feels significant.",7,Health Anxiety,-1.0,joy
"Mealtimes have become a battlefield of anxiety and guilt. I can't enjoy food anymore.",8,Eating Disorder,-1.0,sadness
"The uncertainty about my professional future keeps me up at night. I feel lost.",7,Career Confusion,-1.0,sadness
"Constant worry has become my default state. I can't remember how to relax.",8,Anxiety,-1.0,fear
"Sleep feels like a distant memory. I'm trapped in this cycle of insomnia.",9,Insomnia,-1.0,sadness
"The daily grind is wearing me down. Everything feels like an uphill battle.",7,Stress,-1.0,sadness
"Some days, getting out of bed feels impossible. The weight of depression is crushing.",9,Depression,-1.0,sadness
"I'm starting to believe in myself again. Small victories add up to meaningful change.",8,Positive Outlook,1.0,joy
"Every unexplained pain sends me into a spiral of health anxiety. It's exhausting.",7,Health Anxiety,-1.0,sadness
"I obsess over every calorie and meal choice. It's taking over my thoughts.",8,Eating Disorder,-1.0,joy
"The pressure to choose the right career path is overwhelming. I feel stuck.",7,Career Confusion,-1.0,sadness
"My anxiety makes simple decisions feel impossible. Everything seems threatening.",8,Anxiety,-1.0,sadness
"Another restless night of tossing and turning. Sleep feels impossible to achieve.",9,Insomnia,-1.0,fear
"The constant pressure is affecting my physical health now. I feel overwhelmed.",7,Stress,-1.0,surprise
"Depression colors everything in shades of gray. Joy feels like a distant memory.",9,Depression,-1.0,sadness
"I'm learning to appreciate small progress. Each day brings new possibilities.",8,Positive Outlook,1.0,joy
"Health concerns dominate my thoughts. Every symptom feels like a serious threat.",7,Health Anxiety,-1.0,sadness
"My relationship with food has become complicated. Every meal is a mental battle.",8,Eating Disorder,-1.0,sadness
"Career decisions paralyze me with anxiety. Everyone else seems to have it figured out.",7,Career Confusion,-1.0,fear
"Anxiety follows me like a shadow. Simple tasks become overwhelming challenges.",8,Anxiety,-1.0,fear
"Sleep deprivation is affecting every aspect of my life. I can't break this cycle.",9,Insomnia,-1.0,sadness
"The stress is becoming unbearable. I feel like I'm always on edge.",7,Stress,-1.0,sadness
"Depression makes everything require extra effort. Simple tasks feel mountainous.",9,Depression,-1.0,anger
"I'm seeing positive changes in my mindset. Hope is becoming more familiar.",8,Positive Outlook,1.0,joy
"My health anxiety spikes with every news article about illness. It's paralyzing.",7,Health Anxiety,-1.0,fear
"Food thoughts consume my day. I can't stop obsessing over my eating patterns.",8,Eating Disorder,-1.0,sadness
"The uncertainty about my career future is overwhelming. I feel directionless.",7,Career Confusion,-1.0,fear
"Anxiety makes every interaction feel like a potential threat. I'm always alert.",8,Anxiety,-1.0,fear
"Insomnia has become my constant companion. Nights are endless and lonely.",9,Insomnia,-1.0,sadness
"Work stress follows me home. I can't seem to find any peace.",7,Stress,-1.0,joy
"The weight of depression makes simple tasks feel impossible. Everything is heavy.",9,Depression,-1.0,sadness
"I'm starting to see light at the end of the tunnel. Progress is happening.",8,Positive Outlook,1.0,joy
"Health worries consume my thoughts. Every bodily sensation feels threatening.",7,Health Anxiety,-1.0,fear
"Meal planning has become an obsessive ritual. Food controls my thoughts.",8,Eating Disorder,-1.0,anger
"Career indecision weighs heavily on my mind. The future feels uncertain.",7,Career Confusion,-1.0,fear
"My anxiety peaks in social situations. Every interaction feels draining.",8,Anxiety,-1.0,sadness
"Sleep eludes me night after night. The exhaustion is overwhelming.",9,Insomnia,-1.0,sadness
"The daily pressure keeps building. I feel like I might crack.",7,Stress,-1.0,fear
"Depression makes everything feel meaningless. Joy seems unreachable.",9,Depression,-1.0,sadness
"I'm discovering new strength in myself. Each day brings new hope.",8,Positive Outlook,1.0,joy
"Even minor health symptoms trigger intense worry. It's exhausting.",7,Health Anxiety,-1.0,anger
"Food guilt consumes my thoughts. Every meal feels like a battle.",8,Eating Disorder,-1.0,sadness
"The pressure to choose the right career path is paralyzing. I feel lost.",7,Career Confusion,-1.0,sadness
"Anxiety makes everyday tasks feel overwhelming. I'm constantly on edge.",8,Anxiety,-1.0,fear
"Nights are endless when sleep won't come. The fatigue is crushing.",9,Insomnia,-1.0,sadness
"Stress is affecting my physical and mental health. Everything feels heavy.",7,Stress,-1.0,sadness
"The darkness of depression clouds everything. Simple tasks feel impossible.",9,Depression,-1.0,sadness
"I'm learning to trust the healing process. Small victories matter.",8,Positive Outlook,1.0,joy
"Health anxiety dominates my thoughts. Every sensation feels significant.",7,Health Anxiety,-1.0,joy
"My relationship with food is becoming more complicated. I feel trapped.",8,Eating Disorder,-1.0,sadness
"Career uncertainty keeps me awake at night. Everyone else seems settled.",7,Career Confusion,-1.0,joy
"Anxiety makes me second-guess everything. The worry is constant.",8,Anxiety,-1.0,fear
"Another sleepless night stretches endlessly. Rest feels impossible.",9,Insomnia,-1.0,sadness
"The constant pressure is wearing me down. I feel overwhelmed.",7,Stress,-1.0,surprise
"Depression makes each day feel like an uphill battle. Nothing brings joy.",9,Depression,-1.0,sadness
"I'm beginning to see positive changes. Hope feels more real now.",8,Positive Outlook,1.0,joy
"Health worries intrude on every moment. The anxiety is constant.",7,Health Anxiety,-1.0,fear
"Eating has become a source of constant anxiety. I can't relax.",8,Eating Disorder,-1.0,fear
"The fear of making wrong career choices paralyzes me. I feel stuck.",7,Career Confusion,-1.0,sadness
"My anxiety spikes at unexpected moments. The fear is overwhelming.",8,Anxiety,-1.0,fear
"Sleep has become an elusive dream. Nights are endless.",9,Insomnia,-1.0,fear
"Daily stress is taking its toll. Everything feels like too much.",7,Stress,-1.0,sadness
"Depression colors every experience in shades of gray. Joy feels distant.",9,Depression,-1.0,sadness
"I'm noticing positive changes in my outlook. Recovery feels possible.",8,Positive Outlook,1.0,joy
"Health anxiety consumes my thoughts. Every symptom feels threatening.",7,Health Anxiety,-1.0,fear
"Food thoughts dominate my day. Every meal brings anxiety.",8,Eating Disorder,-1.0,fear
"Career decisions feel overwhelming. The future seems uncertain.",7,Career Confusion,-1.0,fear
"Anxiety makes simple tasks feel impossible. The worry never stops.",8,Anxiety,-1.0,sadness
"Insomnia has become my nightly battle. Rest feels unreachable.",9,Insomnia,-1.0,sadness
"The pressure keeps building. I feel like I'm at my limit.",7,Stress,-1.0,fear
"Depression makes everything require extra effort. Simple tasks feel impossible.",9,Depression,-1.0,sadness
"I'm finding strength in small progress. Each day brings hope.",8,Positive Outlook,1.0,joy
"My health concerns overwhelm my thoughts. Every twinge brings worry.",7,Health Anxiety,-1.0,fear
"Mealtimes have become a source of stress. I can't enjoy food.",8,Eating Disorder,-1.0,anger
"The uncertainty about my future career weighs heavily. I feel lost.",7,Career Confusion,-1.0,sadness
"Anxiety follows me everywhere. Simple tasks become overwhelming.",8,Anxiety,-1.0,fear
"Sleep deprivation is affecting everything. Nights are endless.",9,Insomnia,-1.0,sadness
"Stress has become my constant companion. I feel overwhelmed.",7,Stress,-1.0,fear
"The weight of depression is crushing. Nothing brings joy anymore.",9,Depression,-1.0,sadness
"I'm starting to see light ahead. Recovery feels more possible.",8,Positive Outlook,1.0,joy
"Health anxiety dominates my daily life. Every sensation feels threatening.",7,Health Anxiety,-1.0,fear
"My relationship with food is struggling. Every meal brings guilt.",8,Eating Disorder,-1.0,sadness
"Career confusion keeps me awake at night. The future feels uncertain.",7,Career Confusion,-1.0,fear
"I feel constantly worried about my health lately. Every small symptom makes me anxious.",8,Health Anxiety,-1.0,fear
"I can't stop feeling hopeful about my progress. Each day brings new possibilities.",7,Positive Outlook,1.0,joy
"It feels like I'm constantly feeling much better about managing my daily tasks.",6,Positive Outlook,1.0,joy
"Sometimes, I think I'm confused about job prospects. The career path seems unclear.",7,Career Confusion,-1.0,fear
"I feel constantly worried about eating properly. Food has become a source of anxiety.",8,Eating Disorder,-1.0,fear
"I'm trying, but I'm still feeling very low. Nothing seems to bring joy anymore.",9,Depression,-1.0,sadness
"Lately, I've been feeling much better about handling stress. Things are improving.",7,Positive Outlook,1.0,joy
"It's been hard, I am extremely stressed about work deadlines.",8,Stress,-1.0,sadness
"It feels like I'm constantly worried about my health issues.",7,Health Anxiety,-1.0,fear
"It's been hard, I am feeling very low and disconnected lately.",9,Depression,-1.0,sadness
"I feel constantly worried about my future career path.",7,Career Confusion,-1.0,fear
"I can't seem to get proper sleep lately. My mind keeps racing.",8,Insomnia,-1.0,anger
"Sometimes, I think I'm too anxious about everyday situations.",7,Anxiety,-1.0,fear
"It feels like I'm constantly feeling better about my eating habits.",6,Positive Outlook,1.0,joy
"I'm trying to manage my health anxiety, but it's overwhelming.",8,Health Anxiety,-1.0,fear
"Recently, I've noticed I'm confused about which career direction to take.",7,Career Confusion,-1.0,fear
"It's been hard, I keep worrying about every little thing.",8,Anxiety,-1.0,sadness
"Lately, I've been struggling with my eating patterns.",7,Eating Disorder,-1.0,fear
"I feel constantly tired but can't sleep at night.",9,Insomnia,-1.0,sadness
"The stress is becoming unbearable these days.",8,Stress,-1.0,anger
"I'm starting to feel more positive about life lately.",7,Positive Outlook,1.0,joy
"My health concerns are taking over my thoughts completely.",8,Health Anxiety,-1.0,fear
"I can't stop overthinking about my career choices.",7,Career Confusion,-1.0,fear
"The depression makes everything feel heavy and difficult.",9,Depression,-1.0,sadness
"My anxiety peaks during social situations lately.",8,Anxiety,-1.0,fear
"I'm struggling with my relationship with food.",7,Eating Disorder,-1.0,sadness
"Sleep has become an impossible task these days.",9,Insomnia,-1.0,sadness
"Work pressure is making me extremely stressed.",8,Stress,-1.0,anger
"I'm feeling more hopeful about my recovery journey.",7,Positive Outlook,1.0,joy
"Every small health symptom makes me panic now.",8,Health Anxiety,-1.0,fear
"I'm confused about which career path to choose.",7,Career Confusion,-1.0,fear
"Nothing seems to bring joy or excitement anymore.",9,Depression,-1.0,joy
"My anxiety makes simple tasks feel overwhelming.",8,Anxiety,-1.0,fear
"I keep obsessing over my eating habits constantly.",7,Eating Disorder,-1.0,fear
"Another sleepless night makes everything harder.",9,Insomnia,-1.0,fear
"The daily stress is affecting my well-being.",8,Stress,-1.0,joy
"I'm seeing positive changes in my life lately.",7,Positive Outlook,1.0,joy
"Health worries consume most of my thoughts now.",8,Health Anxiety,-1.0,fear
"Career decisions feel paralyzing and overwhelming.",7,Career Confusion,-1.0,fear
"The depression makes each day feel like a struggle.",9,Depression,-1.0,sadness
"Constant worry has become my default state.",8,Anxiety,-1.0,fear
"Mealtimes have become a source of anxiety.",7,Eating Disorder,-1.0,fear
"I lie awake counting hours until sunrise.",9,Insomnia,-1.0,fear
"Everything feels too overwhelming to handle.",8,Stress,-1.0,fear
"I'm making progress in my recovery journey.",7,Positive Outlook,1.0,joy
"My health anxiety spikes with every twinge.",8,Health Anxiety,-1.0,fear
"I feel lost in my career path lately.",7,Career Confusion,-1.0,sadness
"Each day feels heavier than the last.",9,Depression,-1.0,sadness
"Anxiety follows me like a constant shadow.",8,Anxiety,-1.0,fear
"Food has become a complicated relationship.",7,Eating Disorder,-1.0,anger
"Sleep feels like a distant memory now.",9,Insomnia,-1.0,sadness
"The pressure keeps building up daily.",8,Stress,-1.0,fear
"Things are starting to look brighter.",7,Positive Outlook,1.0,joy
"Every body sensation triggers health worry.",8,Health Anxiety,-1.0,fear
"Depression colors everything in gray shades.",9,Depression,-1.0,sadness
"Simple decisions feel impossible with anxiety.",8,Anxiety,-1.0,sadness
"I can't stop thinking about food constantly.",7,Eating Disorder,-1.0,joy
"Insomnia is affecting my daily functioning.",9,Insomnia,-1.0,fear
"Stress is taking a toll on my health.",8,Stress,-1.0,sadness
"I'm finding new strength each day.",7,Positive Outlook,1.0,joy
"Health concerns dominate my daily thoughts.",8,Health Anxiety,-1.0,fear
"The future career path seems unclear.",7,Career Confusion,-1.0,fear
"It's hard to find motivation anymore.",9,Depression,-1.0,sadness
"Worry consumes most of my energy.",8,Anxiety,-1.0,fear
"Eating has become a daily battle.",7,Eating Disorder,-1.0,sadness
"Nights feel endless without sleep.",9,Insomnia,-1.0,joy
"Daily pressures feel overwhelming.",8,Stress,-1.0,fear
"Hope is becoming more familiar now.",7,Positive Outlook,1.0,joy
"My health worries are escalating.",8,Health Anxiety,-1.0,fear
"Career choices feel overwhelming.",7,Career Confusion,-1.0,fear
"Everything requires extra effort now.",9,Depression,-1.0,joy
"Anxiety makes everything feel threatening.",8,Anxiety,-1.0,fear
"Food thoughts consume my day entirely.",7,Eating Disorder,-1.0,joy
"Sleep deprivation is wearing me down.",9,Insomnia,-1.0,sadness
"Stress follows me everywhere now.",8,Stress,-1.0,anger
"I'm seeing positive changes finally.",7,Positive Outlook,1.0,joy
"Health anxiety controls my thoughts.",8,Health Anxiety,-1.0,fear
"I feel stuck in my career path.",7,Career Confusion,-1.0,sadness
"Depression makes everything harder.",9,Depression,-1.0,sadness
"Constant worry is exhausting me.",8,Anxiety,-1.0,anger
"Meals bring anxiety and guilt.",7,Eating Disorder,-1.0,fear
"I can't remember proper rest.",9,Insomnia,-1.0,sadness
"Everything feels like too much.",8,Stress,-1.0,joy
"Recovery feels more possible now.",7,Positive Outlook,1.0,joy
"Health worries never seem to stop.",8,Health Anxiety,-1.0,fear
"Career indecision weighs heavily.",7,Career Confusion,-1.0,fear
"Each day feels like a struggle.",9,Depression,-1.0,sadness
"Anxiety controls my daily life.",8,Anxiety,-1.0,fear
"Food creates constant stress.",7,Eating Disorder,-1.0,anger
"Sleep eludes me every night.",9,Insomnia,-1.0,sadness
"Pressure keeps building up.",8,Stress,-1.0,fear
"Things are improving gradually.",7,Positive Outlook,1.0,joy
"Health fears dominate everything.",8,Health Anxiety,-1.0,fear
"Career paths seem confusing.",7,Career Confusion,-1.0,fear
"Nothing brings joy anymore.",9,Depression,-1.0,joy
"Worry never seems to end.",8,Anxiety,-1.0,sadness
"Eating causes daily stress.",7,Eating Disorder,-1.0,anger
"Rest feels impossible now.",9,Insomnia,-1.0,sadness
"Stress overwhelms me daily.",8,Stress,-1.0,fear
"Hope grows stronger now.",7,Positive Outlook,1.0,joy
"Health anxiety never stops.",8,Health Anxiety,-1.0,fear
"Future seems uncertain.",7,Career Confusion,-1.0,fear
"Depression feels endless.",9,Depression,-1.0,joy
"Anxiety controls everything.",8,Anxiety,-1.0,fear
"Food brings constant worry.",7,Eating Disorder,-1.0,fear
"Sleepless nights continue.",9,Insomnia,-1.0,fear
"Pressure keeps mounting.",8,Stress,-1.0,fear
"Progress feels real now.",7,Positive Outlook,1.0,joy
"It's getting worse, I've been extremely stressed about work deadlines and responsibilities.",9,Stress,-1.0,anger
"Things have been tough, but I keep feeling happy and excited about my progress.",7,Positive Outlook,1.0,joy
"It's getting worse, I've been not eating properly. Meals feel like a challenge.",8,Eating Disorder,-1.0,joy
"These past few days, I've been feeling extremely stressed about my health.",9,Health Anxiety,-1.0,anger
"It's been hard, I am constantly worried about every little thing.",8,Anxiety,-1.0,fear
"I think my mental state is making me feel very anxious about everything.",7,Anxiety,-1.0,fear
"It's getting worse, I've been constantly worried about my career path.",8,Career Confusion,-1.0,fear
"My mind feels like it's constantly worried about my health symptoms.",9,Health Anxiety,-1.0,fear
"Honestly, I'm not eating properly. Food has become a source of stress.",8,Eating Disorder,-1.0,anger
"It's getting worse, I've been can't sleep well for weeks now.",9,Insomnia,-1.0,sadness
"These days feel heavy, and I can't seem to find joy in anything.",8,Depression,-1.0,sadness
"It's getting worse, the stress is affecting my daily activities.",9,Stress,-1.0,anger
"My mind keeps racing with positive thoughts about future possibilities.",7,Positive Outlook,1.0,joy
"I've been skipping meals more frequently lately. It's becoming a pattern.",8,Eating Disorder,-1.0,sadness
"Health concerns keep overwhelming my thoughts throughout the day.",9,Health Anxiety,-1.0,fear
"It's been tough, constant anxiety follows me everywhere.",8,Anxiety,-1.0,fear
"Career decisions feel paralyzing, I can't seem to move forward.",7,Career Confusion,-1.0,fear
"Sleep has become impossible, my mind won't quiet down.",9,Insomnia,-1.0,sadness
"The weight of depression makes everything feel more difficult.",8,Depression,-1.0,sadness
"Work pressure is becoming unbearable these days.",9,Stress,-1.0,fear
"I'm seeing positive changes in my life, feeling more hopeful.",7,Positive Outlook,1.0,joy
"My eating patterns have become irregular and concerning.",8,Eating Disorder,-1.0,fear
"Health anxiety dominates my thoughts constantly now.",9,Health Anxiety,-1.0,fear
"Simple tasks trigger overwhelming anxiety lately.",8,Anxiety,-1.0,fear
"I feel lost about my career direction completely.",7,Career Confusion,-1.0,sadness
"Nights are endless when sleep won't come.",9,Insomnia,-1.0,joy
"Everything feels grey and meaningless these days.",8,Depression,-1.0,sadness
"Daily stress is taking a toll on my wellbeing.",9,Stress,-1.0,sadness
"I'm making progress and feeling more confident.",7,Positive Outlook,1.0,joy
"Food has become a complicated relationship lately.",8,Eating Disorder,-1.0,anger
"Every body sensation triggers health concerns.",9,Health Anxiety,-1.0,fear
"Anxiety makes simple decisions feel impossible.",8,Anxiety,-1.0,sadness
"Career uncertainty keeps me up at night worrying.",7,Career Confusion,-1.0,fear
"Insomnia has become my constant companion.",9,Insomnia,-1.0,fear
"Depression makes each day feel like a struggle.",8,Depression,-1.0,sadness
"The pressure keeps building up every day.",9,Stress,-1.0,fear
"Things are starting to look brighter finally.",7,Positive Outlook,1.0,joy
"Meal times bring anxiety and guilt now.",8,Eating Disorder,-1.0,fear
"Health worries consume most of my energy.",9,Health Anxiety,-1.0,fear
"I feel stuck in my professional journey.",7,Career Confusion,-1.0,sadness
"Sleep deprivation is affecting everything now.",9,Insomnia,-1.0,sadness
"Nothing seems to bring joy anymore.",8,Depression,-1.0,joy
"Stress follows me everywhere these days.",9,Stress,-1.0,anger
"I'm discovering new strength each day.",7,Positive Outlook,1.0,joy
"Eating has become a daily battle.",8,Eating Disorder,-1.0,sadness
"My health anxiety spikes frequently.",9,Health Anxiety,-1.0,fear
"Worry consumes most of my thoughts.",8,Anxiety,-1.0,fear
"Future career paths seem unclear.",7,Career Confusion,-1.0,fear
"Another sleepless night stretches endlessly.",9,Insomnia,-1.0,fear
"Depression colors everything in grey.",8,Depression,-1.0,sadness
"Everything feels overwhelming lately.",9,Stress,-1.0,joy
"I can't maintain regular eating patterns.",8,Eating Disorder,-1.0,sadness
"Health concerns dominate my daily life.",9,Health Anxiety,-1.0,fear
"Anxiety follows me like a shadow.",8,Anxiety,-1.0,fear
"Career decisions feel overwhelming now.",7,Career Confusion,-1.0,joy
"Rest feels impossible to achieve.",9,Insomnia,-1.0,sadness
"Each day feels heavier than before.",8,Depression,-1.0,sadness
"The pressure never seems to end.",9,Stress,-1.0,fear
"I'm feeling more optimistic lately.",7,Positive Outlook,1.0,joy
"Food thoughts consume my day entirely.",8,Eating Disorder,-1.0,joy
"Every symptom feels catastrophic now.",9,Health Anxiety,-1.0,sadness
"Simple tasks feel overwhelming.",8,Anxiety,-1.0,joy
"I'm confused about my career path.",7,Career Confusion,-1.0,fear
"Sleep has become elusive lately.",9,Insomnia,-1.0,fear
"Nothing motivates me anymore.",8,Depression,-1.0,joy
"Daily pressures keep mounting.",9,Stress,-1.0,fear
"Mealtimes bring constant anxiety.",8,Eating Disorder,-1.0,fear
"Health fears control my thoughts.",9,Health Anxiety,-1.0,fear
"Worry never seems to stop.",8,Anxiety,-1.0,sadness
"Career choices feel paralyzing.",7,Career Confusion,-1.0,fear
"Insomnia affects everything now.",9,Insomnia,-1.0,fear
"Joy feels distant these days.",8,Depression,-1.0,sadness
"Stress consumes my energy.",9,Stress,-1.0,anger
"Things are improving steadily.",7,Positive Outlook,1.0,joy
"Food creates constant stress.",8,Eating Disorder,-1.0,anger
"Health worries never cease.",9,Health Anxiety,-1.0,fear
"Anxiety controls daily life.",8,Anxiety,-1.0,fear
"Future seems very unclear.",7,Career Confusion,-1.0,fear
"Can't remember proper rest.",9,Insomnia,-1.0,sadness
"Everything feels meaningless.",8,Depression,-1.0,sadness
"Pressure keeps increasing.",9,Stress,-1.0,fear
"Positive changes happening.",7,Positive Outlook,1.0,joy
"Eating causes daily stress.",8,Eating Disorder,-1.0,anger
"Health anxiety dominates.",9,Health Anxiety,-1.0,fear
"Constant worry exhausts.",8,Anxiety,-1.0,fear
"Career path feels uncertain.",7,Career Confusion,-1.0,fear
"Sleep remains disturbed.",9,Insomnia,-1.0,sadness
"Depression feels endless.",8,Depression,-1.0,joy
"Stress overwhelms daily.",9,Stress,-1.0,fear
"Progress feels genuine.",7,Positive Outlook,1.0,joy
"Meals bring anxiety.",8,Eating Disorder,-1.0,fear
"Health fears persist.",9,Health Anxiety,-1.0,fear
"Anxiety never ends.",8,Anxiety,-1.0,fear
"Career doubts linger.",7,Career Confusion,-1.0,fear
"Sadness feels constant.",8,Depression,-1.0,joy
"Pressure intensifies.",9,Stress,-1.0,fear
"Hope grows stronger.",7,Positive Outlook,1.0,joy
"Food worries increase.",8,Eating Disorder,-1.0,fear
"Health concerns grow.",9,Health Anxiety,-1.0,fear
"Worry intensifies.",8,Anxiety,-1.0,fear
"Future uncertain.",7,Career Confusion,-1.0,fear
"Rest eludes me.",9,Insomnia,-1.0,sadness
"Despair deepens.",8,Depression,-1.0,sadness
"Stress builds.",9,Stress,-1.0,anger
"Hope rises.",7,Positive Outlook,1.0,joy
